date,newCases,newRecovered,newDeaths,total,
2020-11-17,19152,18260,357,37769,
2020-11-18,19883,18601,603,39087,
2020-11-19,23975,19003,637,43615,
2020-11-20,22464,19914,626,43004,
2020-11-21,24213,25275,574,50062,
2020-11-22,18467,16896,330,35693,
2020-11-23,15002,14897,156,30055,
2020-11-24,10139,15849,540,26528,
2020-11-25,15362,14810,674,30846,
2020-11-26,16687,25342,580,42609,
2020-11-27,17060,21767,579,39406,
2020-11-28,15178,21637,599,37414,
2020-11-29,11483,21156,283,32922,
2020-11-30,5733,18085,121,23939,
2020-12-01,9105,20075,449,29629,
2020-12-02,13855,25391,609,39855,
2020-12-03,14838,23580,620,39038,
2020-12-04,13239,19853,531,33623,
2020-12-05,12430,21497,502,34429,
2020-12-06,9176,18810,228,28214,
2020-12-07,4423,15726,92,20241,
2020-12-08,8312,16399,411,25122,
2020-12-09,12168,29396,568,42132,
2020-12-10,13749,23878,470,38097,
2020-12-11,13110,23237,544,36891,
2020-12-12,11497,25185,502,37184,
2020-12-13,8977,18354,188,27519,
2020-12-14,4896,10260,96,15252,
2020-12-15,6907,10593,349,17849,
2020-12-16,12454,12902,605,25961,
2020-12-17,11953,10699,431,23083,
2020-12-18,11013,12227,426,23666,
2020-12-19,11267,12147,483,23897,
2020-12-20,8594,10546,143,19283,
2020-12-21,4633,7748,77,12458,
2020-12-22,7192,8255,309,15756,
2020-12-23,12361,10906,472,23739,
2020-12-24,13115,10698,497,24310,
2020-12-25,9077,8807,240,18124,
2020-12-26,5048,7698,69,12815,
2020-12-27,3678,7229,57,10964,
2020-12-28,3211,5766,29,9006,
2020-12-29,7914,8629,307,16850,
2020-12-30,12955,11884,565,25404,
2020-12-31,13397,10249,532,24178,
2021-01-01,11008,10143,400,21551,
2021-01-02,6945,9155,102,16202,
2021-01-03,5739,7657,61,13457,
2021-01-04,4432,6461,42,10935,
2021-01-05,7624,9338,341,17303,
2021-01-06,14151,8852,553,23556,
2021-01-07,12054,7872,186,20112,
2021-01-08,8790,8983,332,18105,
2021-01-09,10548,9139,438,20125,
2021-01-10,9410,9580,177,19167,
2021-01-11,4622,7142,75,11839,
2021-01-12,5569,7666,326,13561,
2021-01-13,9053,8997,481,18531,
2021-01-14,9436,8700,381,18517,
2021-01-15,7795,8827,386,17008,
2021-01-16,7412,8437,369,16218,
2021-01-17,6055,8239,142,14436,
2021-01-18,3271,6393,52,9716,
2021-01-19,4835,9315,291,14441,
2021-01-20,6919,10325,443,17687,
2021-01-21,7152,8373,419,15944,
2021-01-22,6640,-2720,346,4266,
2021-01-23,6322,9770,346,16438,
2021-01-24,4683,7664,110,12457,
2021-01-25,2419,7290,38,9747,
2021-01-26,4604,5839,264,10707,
2021-01-27,6789,2692,389,9870,
2021-01-28,7156,4625,389,12170,
2021-01-29,6144,6460,336,12940,
2021-01-30,5864,7222,303,13389,
2021-01-31,4706,5893,98,10697,
2021-02-01,2503,6169,42,8714,
2021-02-02,4326,4760,253,9339,
2021-02-03,6802,2302,421,9525,
2021-02-04,6496,4465,444,11405,
2021-02-05,6053,6524,368,12945,
2021-02-06,5965,6884,283,13132,
2021-02-07,4728,5590,93,10411,
2021-02-08,2431,5695,45,8171,
2021-02-09,4029,4618,227,8874,
2021-02-10,6930,2161,360,9451,
2021-02-11,7008,4466,456,11930,
2021-02-12,6379,6026,247,12652,
2021-02-13,6586,6340,284,13210,
2021-02-14,5334,5564,98,10996,
2021-02-15,2543,5639,25,8207,
2021-02-16,5178,4773,196,10147,
2021-02-17,8694,2155,279,11128,
2021-02-18,9073,4068,273,13414,
2021-02-19,8777,6550,241,15568,
2021-02-20,8510,7110,254,15874,
2021-02-21,7038,6088,94,13220,
2021-02-22,3890,5959,17,9866,
2021-02-23,6310,5143,247,11700,
2021-02-24,12146,2465,372,14983,
2021-02-25,12142,5361,286,17789,
2021-02-26,11539,8210,259,20008,
2021-02-27,12100,8909,303,21312,
2021-02-28,10099,8368,114,18581,
2021-03-01,4786,8032,24,12842,
2021-03-02,7937,7171,216,15324,
2021-03-03,15698,3447,309,19454,
2021-03-04,15250,7140,289,22679,
2021-03-05,15829,10945,263,27037,
2021-03-06,14857,12044,245,27146,
2021-03-07,13574,10960,126,24660,
2021-03-08,6170,11515,32,17717,
2021-03-09,9954,9270,282,19506,
2021-03-10,17260,4552,398,22210,
2021-03-11,21045,8635,375,30055,
2021-03-12,18775,13944,351,33070,
2021-03-13,21049,15667,343,37059,
2021-03-14,17259,14076,110,31445,
2021-03-15,10896,14228,28,25152,
2021-03-16,14396,12709,372,27477,
2021-03-17,25052,6001,453,31506,
2021-03-18,27278,10667,356,38301,
2021-03-19,25998,16440,419,42857,
2021-03-20,26405,19778,349,46532,
2021-03-21,21849,16777,140,38766,
2021-03-22,14578,19181,65,33824,
2021-03-23,16741,17867,396,35004,
2021-03-24,29978,13971,575,44524,
2021-03-25,34151,15010,520,49681,
2021-03-26,35143,24367,443,59953,
2021-03-27,31757,27845,448,60050,
2021-03-28,29253,23854,131,53238,
2021-03-29,16965,25509,48,42522,
2021-03-30,20870,23768,461,45099,
2021-03-31,32874,13726,653,47253,
2021-04-01,35251,20254,621,56126,
2021-04-02,30546,29070,497,60113,
2021-04-03,28073,34745,571,63389,
2021-04-04,22947,32439,204,55590,
2021-04-05,9902,30875,64,40841,
2021-04-06,8245,27269,60,35574,
